Mark;Link;usd_cost;us_cost;City
Lifan LF150-2E 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1854922.html;1 100 $;30 493 грн;Черкассы
Lifan LF150-2E 2021Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1859508.html;1 100 $;30 493 грн;Краматорск
Lifan K19 2021200;https://auto.ria.com/newauto/auto-lifan-k19-1859484.html;2 200 $;60 985 грн;Краматорск
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1859505.html;1 115 $;30 908 грн;Краматорск
Lifan LF250-B 2021Сhopper;https://auto.ria.com/newauto/auto-lifan-lf250-b-1859809.html;2 995 $;83 023 грн;Днепр (Днепропетровск)
Lifan CityR 2020200;https://auto.ria.com/newauto/auto-lifan-cityr-1851093.html;1 175 $;32 572 грн;Днепр (Днепропетровск)
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1854923.html;1 115 $;30 908 грн;Черкассы
Lifan KP200 (Irokez) 2020Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1854925.html;1 645 $;45 600 грн;Черкассы
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1854924.html;2 100 $;58 213 грн;Черкассы
Lifan CityR 2021200;https://auto.ria.com/newauto/auto-lifan-cityr-1859534.html;1 185 $;32 849 грн;Краматорск
Lifan KP200 (Irokez) 2020Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1849246.html;1 645 $;45 600 грн;Днепр (Днепропетровск)
Lifan KPR 2020200;https://auto.ria.com/newauto/auto-lifan-kpr-1849247.html;1 695 $;46 986 грн;Днепр (Днепропетровск)
Lifan KP 2020350;https://auto.ria.com/newauto/auto-lifan-kp-1848364.html;3 800 $;105 338 грн;Днепр (Днепропетровск)
Lifan KPM 2021200;https://auto.ria.com/newauto/auto-lifan-kpm-1854926.html;1 920 $;53 223 грн;Черкассы
Lifan KP200 (Irokez) 2020Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1829363.html;1 630 $;44 499 грн;Харьков
Lifan LF150-2E 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1829356.html;1 100 $;30 030 грн;Харьков
Lifan KPM 2021200;https://auto.ria.com/newauto/auto-lifan-kpm-1853155.html;1 920 $;52 416 грн;Харьков
Lifan JR 2021200;https://auto.ria.com/newauto/auto-lifan-jr-1859535.html;1 285 $;35 621 грн;Краматорск
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1829357.html;1 115 $;30 439 грн;Харьков
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1829362.html;2 100 $;57 330 грн;Харьков
Lifan KPT 2021LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1859481.html;2 100 $;58 213 грн;Краматорск
Lifan SR 2020200;https://auto.ria.com/newauto/auto-lifan-sr-1841045.html;1 470 $;40 749 грн;Львов
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1836365.html;2 090 $;57 936 грн;Харьков
Lifan BTR 2020200;https://auto.ria.com/newauto/auto-lifan-btr-1841376.html;1 099 $;30 465 грн;Львов
Lifan SR 2020200;https://auto.ria.com/newauto/auto-lifan-sr-1836371.html;1 470 $;40 749 грн;Харьков
Lifan KP 2020200;https://auto.ria.com/newauto/auto-lifan-kp-1836362.html;1 630 $;45 184 грн;Харьков
Lifan KP200 (Irokez) 2020Street;https://auto.ria.com/newauto/auto-lifan-kp200-irokez-1841375.html;1 570 $;43 521 грн;Львов
Lifan LF200-10L (KPT) 2020Street;https://auto.ria.com/newauto/auto-lifan-lf200-10l-kpt-1857378.html;1 270 $;35 205 грн;Львов
Lifan CityR 2020200;https://auto.ria.com/newauto/auto-lifan-cityr-1836366.html;1 160 $;32 156 грн;Харьков
Lifan KP 2020250;https://auto.ria.com/newauto/auto-lifan-kp-1836367.html;2 470 $;68 470 грн;Харьков
Lifan LF150-2E 2020Street;https://auto.ria.com/newauto/auto-lifan-lf150-2e-1841372.html;1 080 $;29 938 грн;Львов
Lifan LF 2020150-2E;https://auto.ria.com/newauto/auto-lifan-lf-1836372.html;1 080 $;29 938 грн;Харьков
Lifan KPR 2020200-10S;https://auto.ria.com/newauto/auto-lifan-kpr-1836363.html;1 680 $;46 570 грн;Харьков
Lifan KP 2020350;https://auto.ria.com/newauto/auto-lifan-kp-1836375.html;3 800 $;105 338 грн;Харьков
Lifan KPT 2020LF200-10L;https://auto.ria.com/newauto/auto-lifan-kpt-1841354.html;2 090 $;57 936 грн;Львов
Lifan LF 2020250-D;https://auto.ria.com/newauto/auto-lifan-lf-1836373.html;2 980 $;82 607 грн;Харьков
Lifan CityR 2020200;https://auto.ria.com/newauto/auto-lifan-cityr-1841374.html;1 160 $;32 156 грн;Львов
Lifan KPT 2020200;https://auto.ria.com/newauto/auto-lifan-kpt-1841492.html;2 000 $;55 441 грн;Львов
Lifan KPM 2020200;https://auto.ria.com/newauto/auto-lifan-kpm-1842394.html;1 860 $;51 560 грн;Львов
Lifan BTR 2021200;https://auto.ria.com/newauto/auto-lifan-btr-1856064.html;1 111 $;30 800 грн;Харьков
Lifan KP 2020150 Mini;https://auto.ria.com/newauto/auto-lifan-kp-1856063.html;1 404 $;38 920 грн;Харьков
